Season,Tourney,teamA_id,teamA_name,teamB_id,teamB_name,diff_adj_def_eff,diff_adj_off_eff,diff_def_reb_rate,diff_efg_pct,diff_margin_of_victory,diff_off_reb_rate,diff_power_rating,diff_round_result,diff_seed,diff_strength_of_schedule,diff_tempo,diff_turnover_rate,label
2015,0,136,North Carolina,43,Davidson,-24.90000000000001,4.599999999999994,7.0,4.799999999999997,29.5,5.599999999999998,0.4429999999999999,-48.0,-6.0,7.756999999999998,6.0,5.200000000000001,1
2015,0,88,Kansas,64,Georgetown,-7.099999999999994,-1.8000000000000114,4.6000000000000085,-6.799999999999997,5.300000000000001,4.0,0.065,0.0,-2.0,0.3680000000000021,2.799999999999997,1.0,1
2015,0,232,Villanova,64,Georgetown,-7.700000000000003,7.199999999999989,2.5,3.700000000000003,14.900000000000002,1.7999999999999972,0.1079999999999999,0.0,-3.0,-15.293999999999995,0.5999999999999943,-2.299999999999997,1
2015,0,244,Wisconsin,64,Georgetown,-1.7000000000000028,14.099999999999994,9.0,4.800000000000004,15.800000000000004,-3.0,0.1049999999999999,-30.0,-3.0,-5.663999999999994,-3.4000000000000057,-6.099999999999998,1
2015,0,167,Providence,64,Georgetown,-4.700000000000003,10.0,5.300000000000011,4.5,14.700000000000005,0.2999999999999971,0.1049999999999999,32.0,2.0,1.0380000000000038,1.0,-2.799999999999997,1
2015,0,25,Butler,64,Georgetown,-9.700000000000005,-12.100000000000009,3.200000000000003,-11.4,-2.3999999999999986,0.2999999999999971,-0.01,0.0,2.0,4.254000000000005,2.8999999999999915,-2.8999999999999986,1
2015,0,248,Xavier,64,Georgetown,4.5,1.0999999999999943,10.800000000000011,-0.7999999999999972,-3.3999999999999986,-5.399999999999999,-0.0579999999999999,-16.0,2.0,-9.726999999999997,2.299999999999997,-3.799999999999997,1
2015,1,226,Utah,64,Georgetown,1.0999999999999943,8.799999999999997,14.600000000000009,5.900000000000006,7.700000000000003,7.700000000000003,0.067,-16.0,1.0,-11.991999999999996,-3.5,-1.5,1
2015,0,88,Kansas,226,Utah,-8.199999999999989,-10.600000000000009,-10.0,-12.700000000000005,-2.400000000000002,-3.700000000000003,-0.002,16.0,-3.0,12.36,6.299999999999997,2.5,1
2015,0,158,Oregon,226,Utah,8.0,-8.200000000000003,-13.0,-6.900000000000006,-16.200000000000003,-16.000000000000004,-0.2310000000000001,16.0,3.0,10.975,8.099999999999994,-0.0999999999999978,1
2015,0,8,Arizona,226,Utah,-4.0,-3.6000000000000085,-3.299999999999997,-5.600000000000001,0.3999999999999986,-9.000000000000004,0.0079999999999998,-8.0,-3.0,-8.648,4.599999999999994,-3.6999999999999993,1
2015,1,49,Duke,226,Utah,-9.399999999999991,1.3999999999999917,-14.100000000000009,-6.200000000000003,10.799999999999995,-5.400000000000006,0.0499999999999999,-15.0,-4.0,6.198999999999998,5.299999999999997,-2.599999999999998,1
2015,0,216,UCLA,226,Utah,1.7000000000000028,-11.400000000000006,-13.700000000000005,-10.800000000000004,-13.1,-6.100000000000001,-0.156,0.0,6.0,16.961,9.200000000000005,1.5,1
2015,0,88,Kansas,15,Baylor,-4.299999999999997,0.5999999999999943,-1.2000000000000028,-1.2000000000000028,4.899999999999999,-1.1000000000000014,0.054,-32.0,-1.0,8.948999999999998,4.200000000000003,1.7999999999999972,1
2015,0,203,Texas,15,Baylor,-2.5,7.599999999999994,0.1999999999999886,3.199999999999996,10.099999999999998,-1.0,0.0799999999999999,0.0,8.0,-4.623000000000005,0.6000000000000014,-0.2000000000000028,1
2015,0,154,Oklahoma,15,Baylor,-8.100000000000009,-6.599999999999994,2.3999999999999915,-1.4000000000000057,1.5,-8.900000000000002,0.033,-48.0,0.0,6.442,5.400000000000006,-1.0,1
2015,0,88,Kansas,154,Oklahoma,3.8000000000000114,7.199999999999989,-3.5999999999999943,0.2000000000000028,3.3999999999999986,7.800000000000001,0.021,16.0,-1.0,2.506999999999998,-1.2000000000000028,2.799999999999997,1
2015,0,244,Wisconsin,154,Oklahoma,9.200000000000005,23.099999999999994,0.7999999999999972,11.800000000000004,13.900000000000002,0.8000000000000007,0.0609999999999999,-14.0,-2.0,-3.5249999999999986,-7.400000000000006,-4.300000000000001,1
2015,0,15,Baylor,154,Oklahoma,8.100000000000009,6.599999999999994,-2.3999999999999915,1.4000000000000057,-1.5,8.900000000000002,-0.033,48.0,0.0,-6.442,-5.400000000000006,1.0,1
2015,0,239,West Virginia,154,Oklahoma,13.300000000000011,13.0,-9.699999999999996,8.0,-0.3000000000000007,12.000000000000004,-0.03,0.0,2.0,-22.073,2.3999999999999915,-0.6000000000000014,1
